chr	start	end	CpG	WJ01.N	WJ01.X	WJ02.N	WJ02.X	WJ03.N	WJ03.X	WJ04.N	WJ04.X	WJ05.N	WJ05.X	feature	distance	gene	transcript
chr10	22776158	22776303	5	76	17	80	13	63	17	108	18	61	10	Distal Intergenic	43825	Tcf21	NM_011545
chr10	22778064	22778097	3	76	14	67	10	65	9	82	13	78	7	Distal Intergenic	42031	Tcf21	NM_011545
chr10	22778270	22778395	4	46	32	44	28	67	43	70	43	64	39	Distal Intergenic	41733	Tcf21	NM_011545
chr10	22791657	22791744	4	75	55	58	44	99	79	77	50	63	46	Distal Intergenic	28384	Tcf21	NM_011545
chr10	22791922	22792004	5	86	82	120	111	120	109	94	88	131	120	Distal Intergenic	28124	Tcf21	NM_011545
chr10	22792109	22792157	4	40	36	NA	NA	47	44	39	35	49	37	Distal Intergenic	27971	Tcf21	NM_011545
chr10	22817580	22817919	19	87	45	117	67	98	55	169	90	148	61	Promoter (2-3kb)	2209	Tcf21	NM_011545
chr10	22819262	22819571	26	203	137	227	179	264	189	221	183	246	189	Promoter (<=1kb)	557	Tcf21	NM_011545
chr10	22819626	22819882	17	142	108	138	90	135	100	221	169	196	140	Promoter (<=1kb)	246	Tcf21	NM_011545
chr10	22820020	22820189	9	46	37	55	48	66	46	94	79	59	50	Promoter (<=1kb)	0	Tcf21	NM_011545
chr10	22858292	22858335	5	NA	NA	26	13	NA	NA	29	20	NA	NA	Distal Intergenic	-38165	Tcf21	NM_011545
chr10	22858437	22858719	9	54	46	81	75	87	69	70	58	95	82	Distal Intergenic	-38310	Tcf21	NM_011545
chr10	22859179	22859366	9	77	75	112	104	111	99	126	112	105	99	Distal Intergenic	-39052	Tcf21	NM_011545
chr10	22868400	22868524	3	37	12	48	12	42	7	38	14	47	7	Distal Intergenic	-48273	Tcf21	NM_011545
chr10	22879732	22879901	5	64	28	53	20	56	21	64	28	63	32	Distal Intergenic	-59605	Tcf21	NM_011545
chr10	22880118	22880280	7	40	35	52	44	72	60	52	41	73	56	Distal Intergenic	-59991	Tcf21	NM_011545
chr10	22909588	22909761	6	NA	NA	NA	NA	21	14	24	15	22	16	Distal Intergenic	-89461	Tcf21	NM_011545
chr10	22963621	22963934	9	163	145	174	141	186	166	162	142	189	161	Distal Intergenic	-143494	Tcf21	NM_011545
chr10	22995798	22995868	9	NA	NA	NA	NA	NA	NA	NA	NA	32	31	Distal Intergenic	-175671	Tcf21	NM_011545
chr10	23062918	23062994	3	25	17	42	21	30	20	30	12	42	20	Distal Intergenic	-242791	Tcf21	NM_011545
chr10	23076758	23077029	11	125	73	136	73	127	67	180	99	149	77	Distal Intergenic	-256631	Tcf21	NM_011545
chr10	23077129	23077375	11	126	19	203	35	153	27	187	27	214	32	Distal Intergenic	-257002	Tcf21	NM_011545
chr10	23081189	23081494	14	274	34	290	51	333	48	310	45	328	60	Distal Intergenic	-261062	Tcf21	NM_011545
chr10	23081764	23081880	4	NA	NA	20	7	23	11	26	13	23	10	Distal Intergenic	-261637	Tcf21	NM_011545
chr10	23115649	23115763	5	82	77	76	72	101	93	107	96	104	98	Intron (NM_010167/Eya4, intron 15 of 18)	234140	Eya4	NM_010167
chr10	23116315	23116438	7	84	55	115	88	113	83	136	95	130	95	Intron (NM_010167/Eya4, intron 15 of 18)	233465	Eya4	NM_010167
chr10	23116540	23116665	4	87	58	102	76	106	74	91	60	104	74	Exon (NM_010167/Eya4, exon 15 of 19)	233238	Eya4	NM_010167
chr10	23116796	23116842	4	79	38	89	49	82	44	79	29	97	49	Exon (NM_010167/Eya4, exon 14 of 19)	233061	Eya4	NM_010167
chr10	23117182	23117269	4	42	33	62	46	78	68	83	62	85	68	Intron (NM_010167/Eya4, intron 13 of 18)	232634	Eya4	NM_010167
chr10	23163283	23163490	7	44	26	40	29	59	46	52	43	38	30	Exon (NM_010167/Eya4, exon 5 of 19)	186413	Eya4	NM_010167
chr10	23212225	23212277	3	35	29	56	50	49	40	52	44	43	34	Intron (NM_010167/Eya4, intron 3 of 18)	137626	Eya4	NM_010167
chr10	23348472	23348770	22	71	43	55	34	129	73	54	26	109	53	Promoter (1-2kb)	1133	Eya4	NM_010167
chr10	23349157	23349585	23	116	49	97	31	117	28	127	39	90	22	Promoter (<=1kb)	318	Eya4	NM_010167
chr10	23349607	23350011	22	235	64	235	60	300	94	262	71	299	97	Promoter (<=1kb)	0	Eya4	NM_010167
chr10	23350023	23350437	47	108	20	140	21	183	34	176	19	152	39	Promoter (<=1kb)	-121	Eya4	NM_010167
chr10	23350447	23350871	24	152	75	116	63	125	62	174	79	85	47	Promoter (<=1kb)	-545	Eya4	NM_010167
chr10	23394258	23394390	5	29	15	29	17	37	20	36	24	51	30	Distal Intergenic	-44356	Eya4	NM_010167
chr10	23394739	23394915	8	27	25	40	35	NA	NA	47	38	28	22	Distal Intergenic	-44837	Eya4	NM_010167
chr10	23451022	23451172	3	59	42	57	32	62	41	65	36	63	33	Distal Intergenic	-101120	Eya4	NM_010167
chr10	23480902	23481002	6	66	63	65	59	97	92	102	98	102	93	Distal Intergenic	-131000	Eya4	NM_010167
chr10	23492907	23492995	3	148	128	146	134	135	120	158	140	137	117	Distal Intergenic	-143005	Eya4	NM_010167
chr10	23493245	23493351	3	98	45	89	30	107	37	131	58	103	41	Distal Intergenic	-143343	Eya4	NM_010167
chr10	23542097	23542160	4	NA	NA	29	18	33	16	50	24	44	19	Distal Intergenic	-192195	Eya4	NM_010167
chr10	23611031	23611289	7	109	74	146	95	176	123	155	114	176	120	Distal Intergenic	174162	Snora33	NR_037680
chr10	23611418	23611613	7	133	33	163	28	160	39	174	43	206	49	Distal Intergenic	173838	Snora33	NR_037680
chr10	23671469	23671771	10	153	45	167	66	184	79	203	69	184	66	Distal Intergenic	113680	Snora33	NR_037680
chr10	23711084	23711195	3	42	36	50	43	71	65	58	53	55	47	Distal Intergenic	74256	Snora33	NR_037680
chr10	23711301	23711544	7	184	95	199	99	199	103	244	138	214	117	Distal Intergenic	73907	Snora33	NR_037680
chr10	23715397	23715628	11	73	64	29	28	58	57	78	72	61	59	Distal Intergenic	69823	Snora33	NR_037680
chr10	23777399	23777555	3	NA	NA	28	0	23	2	31	2	24	2	Distal Intergenic	7896	Snora33	NR_037680
chr10	23785587	23785629	4	NA	NA	21	13	24	23	35	27	NA	NA	Promoter (<=1kb)	-137	Snora33	NR_037680
chr10	23785768	23785827	3	49	24	42	14	48	18	54	28	61	21	Promoter (<=1kb)	0	Snord100	NR_037681
chr10	23786502	23786987	22	533	8	599	10	580	11	665	8	750	11	Promoter (<=1kb)	222	Rps12	NM_011295
chr10	23787001	23787466	46	362	9	410	5	459	10	523	13	549	10	Promoter (<=1kb)	0	Rps12	NM_011295
chr10	23787502	23787951	18	363	9	396	6	447	11	501	11	484	15	Promoter (<=1kb)	-294	Rps12	NM_011295
chr10	23788004	23788460	10	186	4	175	7	235	6	220	4	202	1	Promoter (<=1kb)	-796	Rps12	NM_011295
chr10	23795991	23796313	6	76	26	79	27	91	28	107	36	98	33	Promoter (<=1kb)	-673	Slc18b1	NM_183116
chr10	23796480	23796902	12	195	14	223	31	243	33	250	37	264	38	Promoter (<=1kb)	-84	Slc18b1	NM_183116
chr10	23796935	23797373	31	290	17	290	9	368	22	447	14	419	17	Promoter (<=1kb)	0	Slc18b1	NM_183116
chr10	23805976	23806055	3	43	43	48	45	48	45	66	62	49	44	Exon (NM_183116/Slc18b1, exon 5 of 14)	8991	Slc18b1	NM_183116
chr10	23812944	23813069	4	25	22	31	28	29	26	33	26	37	34	Intron (NM_183116/Slc18b1, intron 6 of 13)	15959	Slc18b1	NM_183116
chr10	23826743	23826925	6	49	46	43	39	73	69	67	63	62	57	3' UTR	-24537	Vnn3	NM_011979
chr10	23851461	23851508	3	112	26	114	16	123	16	146	23	122	29	Promoter (<=1kb)	0	Vnn3	NM_011979
chr10	23894301	23894673	8	141	74	134	76	173	84	149	77	170	89	Promoter (<=1kb)	-15	Vnn1	NM_011704
chr10	23894807	23895222	18	247	87	286	80	293	83	290	96	353	102	Promoter (<=1kb)	120	Vnn1	NM_011704
chr10	23895309	23895656	8	89	46	98	43	136	71	95	60	112	53	Promoter (<=1kb)	622	Vnn1	NM_011704
chr10	23920606	23920837	6	179	130	183	141	212	177	218	175	225	168	Promoter (<=1kb)	201	Taar1	NM_053205
chr10	23920919	23921179	10	140	124	116	101	158	140	132	109	125	108	Promoter (<=1kb)	514	Taar1	NM_053205
chr10	23937790	23937909	5	39	7	65	14	61	17	68	10	79	21	Promoter (<=1kb)	-663	Taar2	NM_001007266
chr10	23938015	23938124	5	29	21	32	22	38	24	55	40	42	27	Promoter (<=1kb)	-448	Taar2	NM_001007266
chr10	23942632	23942744	4	NA	NA	NA	NA	NA	NA	24	9	NA	NA	Distal Intergenic	4061	Taar2	NM_001007266
chr10	23949578	23949854	7	161	116	175	119	182	134	195	143	186	136	Promoter (<=1kb)	21	Taar3	NM_001008429
chr10	23949878	23950132	13	388	331	402	336	397	319	452	370	459	374	Promoter (<=1kb)	321	Taar3	NM_001008429
chr10	23950233	23950545	11	362	280	402	313	419	326	434	345	470	380	Promoter (<=1kb)	676	Taar3	NM_001008429
chr10	23960745	23960935	10	31	30	68	67	64	63	37	37	71	70	Promoter (<=1kb)	252	Taar4	NM_001008499
chr10	23978177	23978300	3	59	42	55	41	61	44	75	56	63	45	Distal Intergenic	7346	Taar6	NM_001010828
chr10	23979385	23979404	3	68	33	85	33	80	31	94	42	84	34	Distal Intergenic	6242	Taar6	NM_001010828
chr10	23979539	23979609	4	21	4	36	9	28	9	26	4	26	5	Distal Intergenic	6037	Taar6	NM_001010828
chr10	24045675	24045798	3	NA	NA	NA	NA	NA	NA	NA	NA	20	8	Distal Intergenic	-3712	Taar7f	NM_001010839
chr10	24131661	24131868	5	84	8	103	6	106	5	93	3	141	5	Distal Intergenic	-17449	Stx7	NM_016797
chr10	24132380	24132478	4	47	18	42	16	52	22	36	10	34	15	Distal Intergenic	-16839	Stx7	NM_016797
chr10	24132749	24132839	3	44	26	27	18	37	19	52	24	53	30	Distal Intergenic	-16478	Stx7	NM_016797
chr10	24142891	24142986	4	20	16	20	15	27	19	25	16	26	16	Distal Intergenic	-6331	Stx7	NM_016797
chr10	24149255	24149585	32	153	0	138	0	177	2	126	1	187	2	Promoter (<=1kb)	0	Stx7	NM_016797
chr10	24149590	24149917	18	124	3	116	3	139	4	142	2	172	3	Promoter (<=1kb)	274	Stx7	NM_016797
chr10	24158949	24158999	4	NA	NA	NA	NA	NA	NA	NA	NA	25	22	Intron (NM_016797/Stx7, intron 2 of 9)	9633	Stx7	NM_016797
chr10	24166189	24166509	8	134	111	166	147	192	176	185	169	185	169	Intron (NM_016797/Stx7, intron 2 of 9)	16873	Stx7	NM_016797
chr10	24168214	24168355	6	23	23	24	23	29	27	35	32	24	21	Intron (NM_016797/Stx7, intron 2 of 9)	18898	Stx7	NM_016797
chr10	24168474	24168598	3	32	32	NA	NA	33	33	34	34	20	20	Intron (NM_016797/Stx7, intron 2 of 9)	19158	Stx7	NM_016797
chr10	24173634	24173711	3	57	7	61	12	67	12	81	18	58	10	Intron (NM_016797/Stx7, intron 2 of 9)	24318	Stx7	NM_016797
chr10	24190800	24190903	4	98	91	98	94	113	109	96	90	77	75	Distal Intergenic	-32614	Moxd1	NM_021509
chr10	24192316	24192491	4	62	62	55	54	71	68	73	70	71	68	Distal Intergenic	-31026	Moxd1	NM_021509
chr10	24222840	24222960	5	32	29	53	44	55	48	64	50	56	48	Promoter (<=1kb)	-557	Moxd1	NM_021509
chr10	24223243	24223656	23	229	40	210	38	270	45	274	52	317	60	Promoter (<=1kb)	0	Moxd1	NM_021509
chr10	24223665	24224083	36	364	177	397	191	482	220	424	203	404	207	Promoter (<=1kb)	149	Moxd1	NM_021509
chr10	24224458	24224922	10	75	66	74	69	101	84	72	63	76	69	Promoter (<=1kb)	942	Moxd1	NM_021509
chr10	24235608	24235918	12	193	126	187	129	202	126	251	176	254	169	Intron (NM_021509/Moxd1, intron 1 of 11)	12092	Moxd1	NM_021509
chr10	24312263	24312432	7	97	0	80	1	103	3	115	2	90	2	Distal Intergenic	88747	Moxd1	NM_021509
chr10	24317145	24317452	12	148	75	197	90	219	111	267	134	187	99	Distal Intergenic	93629	Moxd1	NM_021509
chr10	24317607	24317658	4	69	27	52	28	36	15	77	46	72	39	Distal Intergenic	94091	Moxd1	NM_021509
chr10	24333247	24333447	4	79	54	74	50	89	59	97	67	85	63	Distal Intergenic	109731	Moxd1	NM_021509
chr10	24357797	24357903	3	73	43	69	44	68	34	84	49	63	37	Distal Intergenic	134281	Moxd1	NM_021509
chr10	24379037	24379270	8	129	111	135	112	132	105	148	125	167	144	Distal Intergenic	155521	Moxd1	NM_021509
chr10	24379397	24379445	4	121	63	134	64	123	62	148	70	142	69	Distal Intergenic	155881	Moxd1	NM_021509
chr10	24382076	24382320	5	58	14	59	24	77	29	81	32	68	21	Distal Intergenic	158560	Moxd1	NM_021509
chr10	24494095	24494132	3	41	10	53	7	46	2	34	4	60	6	Distal Intergenic	-101310	Ctgf	NM_010217
chr10	24534449	24534605	5	63	56	65	58	76	72	82	80	82	71	Distal Intergenic	-60837	Ctgf	NM_010217
chr10	24535023	24535042	3	59	57	46	45	69	68	90	89	87	87	Distal Intergenic	-60400	Ctgf	NM_010217
chr10	24535551	24535707	6	28	17	34	18	36	17	NA	NA	48	29	Distal Intergenic	-59735	Ctgf	NM_010217
chr10	24567865	24567972	5	54	53	52	48	61	61	64	63	48	47	Distal Intergenic	-27470	Ctgf	NM_010217
chr10	24590560	24590655	3	NA	NA	NA	NA	28	27	24	24	33	33	Distal Intergenic	-4787	Ctgf	NM_010217
chr10	24591263	24591362	3	71	22	83	29	76	26	109	37	91	28	Distal Intergenic	-4080	Ctgf	NM_010217
chr10	24595196	24595654	21	175	1	203	5	261	2	256	4	212	2	Promoter (<=1kb)	0	Ctgf	NM_010217
chr10	24595667	24596085	41	247	5	278	4	358	7	239	5	406	10	Promoter (<=1kb)	226	Ctgf	NM_010217
chr10	24596180	24596571	18	173	29	226	42	337	48	293	65	262	38	Promoter (<=1kb)	739	Ctgf	NM_010217
chr10	24596692	24596997	9	71	2	59	0	93	4	80	7	62	1	Promoter (1-2kb)	1251	Ctgf	NM_010217
chr10	24609817	24610074	9	121	117	128	115	175	162	178	164	158	145	Distal Intergenic	14376	Ctgf	NM_010217
chr10	24617750	24618217	14	314	262	341	284	375	313	375	328	378	317	Distal Intergenic	22309	Ctgf	NM_010217
chr10	24621735	24621922	8	67	10	125	20	126	15	96	14	105	22	Distal Intergenic	26294	Ctgf	NM_010217
chr10	24625092	24625290	9	73	9	91	10	118	16	100	19	131	16	Distal Intergenic	29651	Ctgf	NM_010217
chr10	24625373	24625639	15	349	145	343	150	351	150	411	194	372	136	Distal Intergenic	29932	Ctgf	NM_010217
chr10	24628118	24628199	5	NA	NA	NA	NA	32	32	26	26	23	23	Distal Intergenic	32677	Ctgf	NM_010217
chr10	24628508	24628740	7	66	64	59	54	67	61	66	64	74	72	Distal Intergenic	33067	Ctgf	NM_010217
chr10	24629105	24629194	4	69	23	54	14	71	24	91	29	85	28	Distal Intergenic	33664	Ctgf	NM_010217
chr10	24629311	24629355	3	62	11	67	9	62	12	55	9	79	15	Distal Intergenic	33870	Ctgf	NM_010217
chr10	24630652	24631061	14	185	50	191	63	189	57	232	59	268	80	Distal Intergenic	35211	Ctgf	NM_010217
chr10	24635344	24635715	10	101	93	119	115	131	127	133	122	137	127	Downstream (2-3kb)	39903	Ctgf	NM_010217
chr10	24635951	24636141	9	85	84	121	121	128	124	133	127	139	130	Downstream (1-2kb)	40510	Ctgf	NM_010217
chr10	24638431	24638481	3	79	22	64	11	88	22	84	19	91	24	3' UTR	42990	Ctgf	NM_010217
chr10	24638700	24638791	4	145	101	119	85	196	140	153	111	146	110	3' UTR	43259	Ctgf	NM_010217
chr10	24698034	24698094	3	NA	NA	NA	NA	NA	NA	25	21	NA	NA	Intron (NM_001308327/Enpp1, intron 1 of 24)	14065	Enpp1	NM_001308327
chr10	24698333	24698444	5	77	72	84	71	84	73	72	61	58	51	Intron (NM_001308327/Enpp1, intron 1 of 24)	13715	Enpp1	NM_001308327
chr10	24710641	24711119	12	209	205	248	245	254	248	253	249	248	246	Promoter (1-2kb)	1040	Enpp1	NM_001308327
chr10	24711204	24711599	14	213	185	253	215	276	229	282	241	231	201	Promoter (<=1kb)	560	Enpp1	NM_001308327
chr10	24711636	24712085	50	404	44	438	66	420	57	493	78	458	53	Promoter (<=1kb)	74	Enpp1	NM_001308327
chr10	24712181	24712619	26	215	158	208	148	156	103	165	107	128	81	Promoter (<=1kb)	-23	Enpp1	NM_008813
chr10	24718117	24718289	7	77	47	78	54	103	70	88	65	96	60	Distal Intergenic	-5959	Enpp1	NM_008813
chr10	24718411	24718475	6	63	60	72	68	122	115	102	94	116	113	Distal Intergenic	-6253	Enpp1	NM_008813
chr10	24718581	24718766	6	117	106	118	107	117	103	158	145	119	110	Distal Intergenic	-6423	Enpp1	NM_008813
chr10	24743284	24743371	6	NA	NA	NA	NA	24	24	29	25	25	20	Distal Intergenic	-31126	Enpp1	NM_008813
chr10	24753621	24753885	8	61	33	67	33	69	34	87	57	65	46	Distal Intergenic	-41463	Enpp1	NM_008813
chr10	24754054	24754202	7	104	86	139	117	147	125	165	133	133	107	Distal Intergenic	-41896	Enpp1	NM_008813
chr10	24754696	24754903	4	52	44	38	30	50	40	56	37	48	40	Distal Intergenic	-42538	Enpp1	NM_008813
chr10	24758252	24758384	4	63	52	72	60	74	53	69	56	63	51	Distal Intergenic	-46094	Enpp1	NM_008813
chr10	24758499	24758608	5	71	58	95	80	90	80	106	96	78	69	Distal Intergenic	-46341	Enpp1	NM_008813
chr10	24758896	24759024	5	23	21	33	27	42	40	49	42	57	49	Distal Intergenic	-46738	Enpp1	NM_008813
chr10	24784733	24784934	9	102	83	134	115	112	96	166	156	122	110	Exon (NM_134005/Enpp3, exon 20 of 25)	51261	Enpp3	NM_134005
chr10	24789656	24789919	9	51	28	51	26	75	32	68	32	54	28	Intron (NM_134005/Enpp3, intron 17 of 24)	46276	Enpp3	NM_134005
chr10	24790093	24790195	3	26	14	32	25	31	21	26	16	33	20	Intron (NM_134005/Enpp3, intron 17 of 24)	46000	Enpp3	NM_134005
chr10	24796790	24797134	10	128	112	101	93	180	167	203	183	162	142	Intron (NM_134005/Enpp3, intron 14 of 24)	39061	Enpp3	NM_134005
chr10	24797234	24797516	6	89	48	116	66	110	58	134	83	112	61	Intron (NM_134005/Enpp3, intron 14 of 24)	38679	Enpp3	NM_134005
chr10	24806001	24806293	11	68	54	61	47	79	70	94	80	95	79	Intron (NM_134005/Enpp3, intron 9 of 24)	29902	Enpp3	NM_134005
chr10	24806889	24807060	5	NA	NA	NA	NA	NA	NA	33	24	28	18	Intron (NM_134005/Enpp3, intron 9 of 24)	29135	Enpp3	NM_134005
chr10	24824050	24824328	11	188	130	155	116	225	148	208	147	212	152	Intron (NM_134005/Enpp3, intron 4 of 24)	11867	Enpp3	NM_134005
chr10	24831435	24831493	4	NA	NA	NA	NA	NA	NA	25	11	NA	NA	Intron (NM_134005/Enpp3, intron 2 of 24)	4702	Enpp3	NM_134005
chr10	24831777	24831972	7	94	82	130	118	167	144	136	120	143	121	Exon (NM_134005/Enpp3, exon 2 of 25)	4223	Enpp3	NM_134005
chr10	24835026	24835161	3	21	2	NA	NA	36	7	NA	NA	29	4	Promoter (1-2kb)	1034	Enpp3	NM_134005
chr10	24835415	24835481	4	23	11	20	8	26	12	34	22	22	11	Promoter (<=1kb)	714	Enpp3	NM_134005
chr10	24869568	24869973	20	357	52	440	54	452	57	462	72	504	77	Promoter (<=1kb)	-13	Med23	NM_001166416
chr10	24870000	24870427	32	220	8	307	4	353	10	269	14	349	10	Promoter (<=1kb)	15	Med23	NM_027347
chr10	24870682	24870841	6	180	71	212	99	216	107	235	98	231	92	Promoter (<=1kb)	697	Med23	NM_027347
chr10	24873820	24874120	5	29	24	31	23	33	23	32	29	39	33	Intron (NM_001166416/Med23, intron 4 of 29)	3835	Med23	NM_027347
chr10	24886055	24886389	9	101	91	125	105	132	121	148	135	114	109	Intron (NM_001166416/Med23, intron 11 of 29)	16070	Med23	NM_027347
chr10	24896114	24896253	7	67	56	101	83	123	96	112	87	124	100	Intron (NM_001166416/Med23, intron 16 of 29)	-14411	Mir6905	NR_105870
chr10	24927103	24927245	3	30	16	33	11	34	19	41	19	22	10	Promoter (<=1kb)	225	Arg1	NM_007482
chr10	24948558	24948651	6	174	156	144	129	173	160	216	193	180	164	Distal Intergenic	-21089	Arg1	NM_007482
chr10	24951704	24952059	10	164	140	155	129	170	144	219	196	197	169	Distal Intergenic	-24235	Arg1	NM_007482
chr10	24952178	24952284	6	94	82	83	76	112	97	127	108	77	69	Distal Intergenic	-24709	Arg1	NM_007482
chr10	24952545	24952750	5	65	37	81	43	79	42	67	32	95	49	Distal Intergenic	-25076	Arg1	NM_007482
chr10	24952893	24952944	3	49	16	65	23	59	20	59	20	53	20	Distal Intergenic	-25424	Arg1	NM_007482
chr10	24958454	24958539	4	NA	NA	28	16	32	24	31	20	NA	NA	Distal Intergenic	-30985	Arg1	NM_007482
chr10	24958645	24958857	8	175	96	168	90	185	86	181	96	204	108	Distal Intergenic	-31176	Arg1	NM_007482
chr10	24958979	24959322	10	146	38	146	50	157	55	188	51	205	71	Distal Intergenic	-31510	Arg1	NM_007482
chr10	24974216	24974333	7	100	88	92	78	124	121	117	107	147	132	Distal Intergenic	-46747	Arg1	NM_007482
chr10	24974451	24974624	5	51	44	54	40	62	50	78	63	60	47	Distal Intergenic	-46982	Arg1	NM_007482
chr10	25000324	25000485	8	65	60	69	56	103	94	114	94	96	85	Distal Intergenic	-72855	Arg1	NM_007482
chr10	25000605	25000720	4	45	44	49	48	57	53	60	56	56	50	Distal Intergenic	-73136	Arg1	NM_007482
chr10	25008417	25008517	4	35	30	28	25	41	29	NA	NA	22	19	Distal Intergenic	-80948	Arg1	NM_007482
chr10	25029086	25029421	8	83	60	85	63	159	121	151	117	120	90	Distal Intergenic	-101617	Arg1	NM_007482
chr10	25029547	25029672	3	22	8	30	17	44	24	52	24	39	18	Distal Intergenic	-102078	Arg1	NM_007482
chr10	25053427	25053641	7	38	31	53	49	28	24	31	31	32	27	Distal Intergenic	-125958	Arg1	NM_007482
chr10	25053717	25053948	8	91	81	117	106	136	119	157	135	129	112	Distal Intergenic	-126248	Arg1	NM_007482
chr10	25054068	25054164	4	67	61	94	85	124	114	118	109	127	110	Distal Intergenic	-126599	Arg1	NM_007482
chr10	25054876	25055156	7	117	101	113	104	132	120	128	107	146	133	Distal Intergenic	-127407	Arg1	NM_007482
chr10	25055273	25055387	3	NA	NA	NA	NA	NA	NA	21	17	NA	NA	Distal Intergenic	-127804	Arg1	NM_007482
chr10	25111664	25111892	7	131	24	145	23	145	20	176	34	123	24	Distal Intergenic	-184195	Arg1	NM_007482
chr10	25118628	25118770	3	96	77	111	89	104	75	114	81	112	90	Distal Intergenic	180393	Akap7	NM_018747
chr10	25118946	25119041	5	40	12	52	19	58	11	61	23	62	22	Distal Intergenic	180122	Akap7	NM_018747
chr10	25119163	25119383	8	75	24	73	24	87	27	83	34	102	47	Distal Intergenic	179780	Akap7	NM_018747
chr10	25119610	25119676	3	54	46	59	57	78	71	72	67	69	60	Distal Intergenic	179487	Akap7	NM_018747
chr10	25119812	25120043	10	67	60	62	54	63	59	81	67	75	67	Distal Intergenic	179120	Akap7	NM_018747
chr10	25140234	25140511	10	57	23	62	23	56	21	76	27	94	31	Distal Intergenic	158652	Akap7	NM_018747
chr10	25140613	25140738	5	140	103	123	90	157	126	171	129	126	99	Distal Intergenic	158425	Akap7	NM_018747
chr10	25143778	25143861	3	30	18	33	20	30	17	34	23	29	19	Distal Intergenic	155302	Akap7	NM_018747
chr10	25144721	25144829	4	28	27	28	24	34	33	36	33	34	31	Distal Intergenic	154334	Akap7	NM_018747
chr10	25145535	25145651	6	22	19	NA	NA	20	16	30	26	23	17	Distal Intergenic	153512	Akap7	NM_018747
chr10	25145796	25146073	15	110	80	191	148	208	157	183	137	241	190	Distal Intergenic	153090	Akap7	NM_018747
chr10	25154355	25154422	3	NA	NA	20	10	20	11	27	13	21	8	Distal Intergenic	144741	Akap7	NM_018747
chr10	25167299	25167554	7	74	70	78	67	80	71	104	91	70	68	Downstream (1-2kb)	131609	Akap7	NM_018747
chr10	25186167	25186514	9	114	102	129	118	129	115	140	126	136	124	Intron (NM_018747/Akap7, intron 7 of 7)	112649	Akap7	NM_018747
chr10	25198100	25198455	10	116	105	134	123	191	172	181	155	173	160	Intron (NM_018747/Akap7, intron 7 of 7)	100708	Akap7	NM_018747
chr10	25198558	25198607	4	33	29	44	35	54	43	44	33	62	52	Intron (NM_018747/Akap7, intron 7 of 7)	100556	Akap7	NM_018747
chr10	25198710	25198891	9	139	133	166	162	185	177	208	203	229	227	Intron (NM_018747/Akap7, intron 7 of 7)	100272	Akap7	NM_018747
chr10	25198995	25199077	3	66	57	69	60	79	62	91	77	88	73	Intron (NM_018747/Akap7, intron 7 of 7)	100086	Akap7	NM_018747
chr10	25199320	25199423	4	55	42	71	52	69	54	75	63	73	60	Intron (NM_018747/Akap7, intron 7 of 7)	99740	Akap7	NM_018747
chr10	25199541	25199856	9	161	113	152	113	227	173	170	121	165	135	Intron (NM_018747/Akap7, intron 7 of 7)	99307	Akap7	NM_018747
chr10	25199983	25200231	18	91	73	146	121	164	132	187	159	182	152	Intron (NM_018747/Akap7, intron 7 of 7)	98932	Akap7	NM_018747
chr10	25200252	25200512	10	167	92	178	96	210	115	232	125	222	114	Intron (NM_018747/Akap7, intron 7 of 7)	98651	Akap7	NM_018747
chr10	25200654	25200781	5	54	53	61	58	76	73	85	81	82	80	Intron (NM_018747/Akap7, intron 7 of 7)	98382	Akap7	NM_018747
chr10	25200891	25200971	4	64	59	67	62	88	81	116	110	101	95	Intron (NM_018747/Akap7, intron 7 of 7)	98192	Akap7	NM_018747
chr10	25207821	25207917	5	117	112	143	131	126	118	153	137	154	144	Intron (NM_018747/Akap7, intron 7 of 7)	91246	Akap7	NM_018747
chr10	25219084	25219228	4	26	14	25	14	31	24	27	13	32	24	Intron (NM_018747/Akap7, intron 7 of 7)	79935	Akap7	NM_018747
chr10	25219367	25219783	10	74	32	79	32	83	36	92	33	100	26	Intron (NM_018747/Akap7, intron 7 of 7)	79380	Akap7	NM_018747
chr10	25239001	25239335	12	60	52	48	38	54	52	100	94	96	84	Intron (NM_018747/Akap7, intron 6 of 7)	59828	Akap7	NM_018747
chr10	25239379	25239731	11	128	116	109	92	133	118	119	96	135	107	Exon (NM_018747/Akap7, exon 6 of 8)	59432	Akap7	NM_018747
chr10	25250208	25250353	12	190	117	223	132	185	134	230	156	215	131	Intron (NM_018747/Akap7, intron 5 of 7)	48810	Akap7	NM_018747
chr10	25250609	25250730	5	NA	NA	21	21	38	38	35	29	22	19	Intron (NM_018747/Akap7, intron 5 of 7)	48433	Akap7	NM_018747
chr10	25251335	25251727	18	175	164	150	139	171	157	176	168	208	199	Intron (NM_018747/Akap7, intron 5 of 7)	47436	Akap7	NM_018747
chr10	25257586	25257727	5	22	18	NA	NA	NA	NA	NA	NA	NA	NA	Intron (NM_018747/Akap7, intron 5 of 7)	41436	Akap7	NM_018747
chr10	25258320	25258486	5	48	46	40	39	69	62	65	64	49	46	Intron (NM_018747/Akap7, intron 5 of 7)	40677	Akap7	NM_018747
chr10	25268518	25268728	6	115	20	162	34	168	30	175	32	162	32	Intron (NM_018747/Akap7, intron 4 of 7)	30435	Akap7	NM_018747
