Control_18.muco	AOMDSS_18.muao	AOMDSSCur_18.mucu	gene
0.4607048	0.6239066	0.4492555	Mir7687
0.8772687	0.7024442	0.8744909	P2rx7
0.9436403	0.8087529	0.964335	Pcca
0.5603847	0.7665461	0.5509277	1190005I06Rik
0.646526	0.4851349	0.6854868	Camkk2
0.5166297	0.3411744	0.4574534	Camkk2
0.274582	0.3961476	0.2700403	Camkk2
0.6691118	0.4915239	0.6611405	Rhof
0.6532611	0.3950311	0.5671998	Clstn3
0.4748839	0.2953847	0.4245384	Clstn3
0.9607529	0.8586702	0.9681503	Snai3
0.1202365	0.3486945	0.1717512	Piezo1
0.8858996	0.6962381	0.8341121	Gapdh
0.8696996	0.7605649	0.8710208	Cbfa2t3
0.5743412	0.4239741	0.5879013	Fam101a
0.7282573	0.5733387	0.7360165	Scarb1
0.6532927	0.5301515	0.6659112	Tubb3
0.2676174	0.1332032	0.2953844	Tubb3
0.7897466	0.6441185	0.7718889	Tmem132b
0.7552613	0.5609443	0.7982528	Nab2
0.9392886	0.8009753	0.9548942	Spryd4
0.8903452	0.6583798	0.8442752	Mir6917
0.7750229	0.5785491	0.7411861	Erbb3
0.7494279	0.6089251	0.7544919	Gm14005
0.3016148	0.1927969	0.3319343	1700025J12Rik
0.8205531	0.6219858	0.7989537	AI847159
0.3770299	0.1526247	0.3305964	Zbtb8os
0.4740872	0.2138621	0.3206145	Bsdc1
0.4535649	0.9071162	0.7121695	Slc5a11
0.9076378	0.771424	0.8953922	Ubox5
0.4650648	0.2410106	0.5058845	Matn1
0.414531	0.2281637	0.3669156	Rabgef1
0.8268076	0.6384269	0.8378041	Btk
0.3075689	0.5206121	0.7642399	D430042O09Rik
0.5574726	0.3356527	0.6324986	Gsg1l
0.4237831	0.5567202	0.4141131	Pigv
0.8125108	0.6713679	0.8175811	Aim1l
0.3992721	0.249144	0.4207658	Sh3bgrl3
0.7436533	0.5923336	0.7327569	Coro1a
0.9106732	0.7794712	0.9028664	Pafah2
0.8726284	0.688154	0.8145855	Mir6403
0.0425126	0.1779403	0.0574623	Nfasc
0.4017909	0.1645758	0.2951135	Dusp16
0.8610247	0.6746958	0.8392029	Apold1
0.0765386	0.2249315	0.0451116	Il22ra1
0.4970221	0.2823672	0.4806777	Gale
0.3325143	0.2089177	0.3459942	Pithd1
0.2038985	0.3612849	0.2441558	Atp2b4
0.7013975	0.5721191	0.7304392	Platr21
0.7883928	0.6216956	0.765171	Mdh2
0.3956371	0.1750286	0.310517	Atf7ip
0.5804826	0.80135	0.6882084	Plbd1
0.6011017	0.4509702	0.5890346	H2afj
0.4010973	0.2183267	0.424704	Myl10
0.6314427	0.4218072	0.5901749	Alpl
0.8761521	0.7377673	0.8634773	Fgfr2
0.2412531	0.372021	0.247106	Tacc2
0.4974934	0.7359869	0.606951	Gm20605
0.4985044	0.2813411	0.5435257	Nyap1
0.7548875	0.6431007	0.7494271	Pilra
0.883705	0.5812282	0.8894235	Pla2g2a
0.2014425	0.3322482	0.171548	Aldh4a1
0.3524176	0.2253899	0.3661501	Pik3c2g
0.3982428	0.8013959	0.652889	Oat
0.2432639	0.108408	0.2256185	Fam53b
0.712887	0.5385221	0.7610102	Padi4
0.6280943	0.4642709	0.6382311	Papolb
0.6901316	0.5178081	0.6912131	Snora35
0.3752112	0.6099495	0.3972498	Pcsk2os2
0.959503	0.6213038	0.8897205	Bfsp1
0.6399425	0.4329449	0.6007655	Ddah1
0.4427898	0.6709596	0.397663	Ddah1
0.5523162	0.42332	0.5656665	Lpar3
0.7710581	0.6224045	0.7400844	Sspn
0.8872768	0.7331246	0.8767999	Itpr2
0.4030758	0.1479792	0.3622529	Lnx2
0.3516346	0.1923852	0.345573	Flt1
0.344915	0.4553166	0.3330678	Flt1
0.6144272	0.7227218	0.5915445	Gzf1
0.9065207	0.8022304	0.9188723	Slc7a1
0.9027501	0.766665	0.8828831	Slc7a1
0.9354223	0.7589823	0.9098126	Slc7a1
0.4217349	0.5607644	0.3461398	Dusp8
0.6517564	0.4382692	0.6595072	Eno1b
0.6452262	0.4255635	0.5916344	Alox5ap
0.5884182	0.4281059	0.6035756	Wdr95
0.8129106	0.6305362	0.8392057	Kcnq1ot1
0.4286079	0.5994525	0.4536852	Gm13090
0.1009842	0.2126386	0.0725335	Fry
0.7875812	0.6553434	0.7764674	Shank2
0.9074343	0.792664	0.9525393	Plekhg5
0.172627	0.2957602	0.1745508	Gm833
0.5895711	0.431101	0.57511	Prg4
0.9146447	0.7762171	0.906055	Mcts2
0.5995668	0.7465763	0.5596682	Mcts2
0.9103464	0.768257	0.9074789	St6galnac5
0.1473368	0.2600937	0.1248084	Bcl2l1
0.0881571	0.308004	0.1763063	Bcl2l1
0.9301253	0.7622402	0.9310171	Tspyl3
0.9036823	0.7968707	0.9233694	Mir7682
0.9850715	0.8291494	0.9707286	Dnmt3b
0.1446917	0.2801859	0.1696732	Edem3
0.7016395	0.4618261	0.6285691	Arhgef16
0.9621417	0.8056177	0.9679385	Cdk5rap1
0.9184849	0.8039567	0.9198428	Prkcz
0.1979358	0.3300529	0.1888309	Trp53inp2
0.8578836	0.6799635	0.8565258	Shcbp1l
0.3824812	0.6692297	0.4057097	Epb4.1l1
0.023625	0.129132	0.0165551	Src
0.4249369	0.587503	0.444996	Nnat
0.5241349	0.307284	0.5919002	Arhgap40
0.3305203	0.5212476	0.3984894	Angptl1
0.1551154	0.3121725	0.1811889	Chd6
0.8417554	0.5632497	0.7545819	Tnn
0.3757714	0.578509	0.415148	Hnf4aos
0.6931308	0.8385846	0.7186497	Kcns1
0.3125412	0.4204313	0.3138505	Matn4
0.4178715	0.2755706	0.430688	Prrx1
0.7989535	0.5504752	0.7430531	Sulf2
0.4380686	0.5601468	0.4441637	Slc19a2
0.7661309	0.6088514	0.7575777	Snord12
0.8740301	0.7299811	0.8787085	Rcsd1
0.631977	0.4099857	0.6825066	Ildr2
0.5950155	0.4213268	0.5859392	Lmx1a
0.5509446	0.3111554	0.45654	Pbx1
0.1278723	0.2692082	0.129847	Pbx1
0.6521388	0.7938441	0.6660807	Fcgr2b
0.759928	0.5684144	0.7828162	Zbp1
0.9010606	0.7856006	0.9034835	Arhgap30
0.4943555	0.311921	0.4705789	Cd244
0.9491576	0.7838708	0.9186975	Gm14393
0.9115156	0.7796711	0.9002598	Gm14393
0.3325809	0.5338347	0.3984662	Hmga2-ps1
0.5443586	0.6837557	0.5475051	Cdh4
0.3664375	0.1184324	0.2696698	Slc17a9
0.4429679	0.5889758	0.4586232	9330162B11Rik
0.8268499	0.6484527	0.8463434	Smyd2
